path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel
217,36.77626545825576,2,-2,696,0.052839461865309995
218,35.08831678112013,0,-1,671,0.05229257344429229
219,34.191657568900695,-2,1,665,0.05141602641939954
220,39.424154982284456,-1,-2,695,0.05672540285220785
221,39.61549269537535,2,0,693,0.057165213124639756
222,34.699068645318846,2,2,668,0.05194471354089648
223,37.51162784536011,0,-1,656,0.05718235952036602
224,39.547948738647314,0,2,696,0.05682176542909097
225,41.975354429238,2,0,686,0.061188563307927116
226,31.476192796036642,-1,-2,697,0.04515953055385458
227,38.49899107148451,2,0,687,0.05603928831366013
228,31.40796070856341,-2,-1,670,0.046877553296363304
229,37.88130885654285,-1,-2,697,0.05434908013851198
230,26.35864540027716,0,1,640,0.041185383437933064
231,34.39160236633184,1,1,655,0.05250626315470509
232,36.65161587544401,2,-1,662,0.0553649786638127
233,30.068551943283044,1,-1,643,0.04676291126482589
234,32.13503471127117,2,-2,689,0.04664010843435583
235,31.253270237775848,1,-1,667,0.04685647711810472
236,30.973445181847985,-1,-1,652,0.04750528402123924
237,40.132720696512905,1,0,681,0.05893204213878547
238,31.812030997200974,-2,-1,659,0.04827318815963729
239,37.71834306562927,1,1,680,0.055468151567101866
240,35.70650483045971,2,1,676,0.052820273417839805
241,33.66753050912753,-1,-1,660,0.05101140986231444
242,37.05015922633072,0,2,673,0.05505224253540969
243,35.32150232524907,2,2,688,0.05133939291460621
244,32.32706055510725,1,0,674,0.047962997856242216
245,37.05015922633073,-2,0,695,0.05330958162061975
246,30.33566763944749,-2,-1,693,0.04377441217813491
247,39.74063269571375,0,-2,687,0.05784662692243632
248,41.725406192775424,-1,-1,694,0.060123063678350755
249,35.17290721082494,0,1,648,0.05427917779448293
250,39.10146220035911,-2,-1,666,0.058710904204743404
