,path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
1126,58,1,48,52.55001831054688,3.1622776601683795,-1,-3,0.06588078458684124,3529372.0864975187
1127,58,0,45,49.39999389648438,2.8284271247461903,-2,2,0.0628539361054709,101949413.60069267
1128,59,7,55,56.99999237060547,0.0,0,0,0.0,29154563.59221069
1129,59,6,68,67.14999389648439,1.4142135623730951,-1,1,0.020797258270192576,11116032.234282043
1130,59,5,42,46.25,3.6055512754639887,3,-2,0.08584645893961879,1810946.9940024996
1131,59,4,40,42.04997253417969,4.0,0,4,0.1,40208799.5093007
1132,59,3,60,61.1500244140625,1.0,-1,0,0.016666666666666666,14082136.582462953
1133,59,1,66,61.35000610351562,4.242640687119285,3,-3,0.06428243465332249,2487646.7396085523
1134,59,0,79,81.95001220703125,5.0,-3,4,0.06329113924050632,11464802.045950795
1135,60,8,70,69.59999847412111,2.23606797749979,-2,-1,0.031943828249997,5946336.898563063
1136,60,7,76,77.30000305175781,1.0,-1,0,0.013157894736842105,4895647.4694805285
1137,60,4,53,58.14996337890625,0.0,0,0,0.0,91256965.2672498
1138,60,3,78,82.50003051757812,0.0,0,0,0.0,14195872.89366149
1139,60,2,45,44.399993896484375,1.0,0,-1,0.022222222222222227,8260072.708584652
1140,60,1,56,58.44998168945313,1.0,0,-1,0.017857142857142856,26158003.34024381
1141,60,0,79,87.04998779296875,2.8284271247461903,-2,2,0.03580287499678722,110875371.5954266
1142,61,7,54,58.25,3.1622776601683795,-1,-3,0.05856069741052555,65070471.81136711
1143,61,6,67,71.30000305175781,2.8284271247461903,-2,2,0.042215330220092384,41103776.50988647
1144,61,5,68,74.10000610351562,2.23606797749979,1,-2,0.032883352610291024,5972634.222919103
1145,61,4,43,46.10000610351562,4.0,0,4,0.09302325581395347,11982388.80932717
1146,61,3,58,61.5,2.0,-2,0,0.03448275862068965,32218372.4406966
1147,61,2,63,68.69998168945311,3.0,3,0,0.047619047619047616,19321659.86668704
1148,61,1,69,73.75003051757812,0.0,0,0,0.0,4477669.681894493
1149,61,0,50,55.40008544921875,3.1622776601683795,-3,-1,0.0632455532033676,107729361.46083266
1150,62,8,41,45.45000076293945,1.0,0,1,0.024390243902439025,9977794.121611517
1151,62,7,45,47.74999237060547,2.8284271247461903,-2,-2,0.0628539361054709,1916207.600214648
1152,62,6,77,77.5,2.0,0,2,0.025974025974025976,4549810.7389867315
1153,62,5,73,74.94999694824219,1.0,0,-1,0.0136986301369863,4308628.054188732
1154,62,4,56,59.89996337890625,1.0,0,1,0.017857142857142856,2501380.6646159664
1155,62,3,66,71.60000610351562,2.0,0,-2,0.030303030303030307,40118377.32095555
1156,62,2,58,59.50006103515625,4.123105625617661,-1,4,0.0710880280278907,4088674.903378274
1157,62,1,61,65.80001831054689,2.0,0,-2,0.032786885245901634,85173219.91029078
1158,62,0,46,50.29998779296875,1.0,-1,0,0.021739130434782608,33953171.7339677
1159,63,9,67,73.04999542236328,5.0,4,-3,0.07462686567164177,37372344.517691664
1160,63,8,52,56.84999084472656,4.0,0,4,0.07692307692307693,33991705.568328016
1161,63,7,47,50.19999694824219,2.0,0,-2,0.0425531914893617,8653886.259007106
1162,63,6,44,49.89999389648438,2.0,0,-2,0.045454545454545456,15588783.983811287
1163,63,5,77,84.75001525878906,4.47213595499958,-2,4,0.05807968772726727,30739875.40429981
1164,63,4,67,72.70001220703125,2.23606797749979,-1,-2,0.03337414891790731,5003039.67884604
1165,63,3,40,42.350006103515625,2.23606797749979,1,-2,0.05590169943749475,1566179.8721597712
1166,63,2,55,59.6500244140625,3.6055512754639887,-2,3,0.0655554777357089,4250408.9100178685
1167,63,1,53,58.8499755859375,2.23606797749979,2,-1,0.04218996183961868,85767119.31895728
1168,63,0,76,83.04998779296875,2.0,0,-2,0.02631578947368421,57124597.11302827
1169,64,6,63,69.15000915527344,2.23606797749979,1,-2,0.03549314249999666,38059566.97632213
