path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
117,7,53,83.89999389648438,1.4142135623730951,-1,-1,0.026683274761756512,20603902.26898248
117,6,41,64.05000305175781,3.605551275463989,-2,-3,0.0879402750113168,3074434.0896234866
117,5,56,87.60000610351562,2.8284271247461903,2,2,0.05050762722761054,2975173.791787278
117,4,54,83.39999389648438,2.0,0,-2,0.037037037037037035,18569945.391341172
117,3,65,102.89999389648438,3.0,0,3,0.046153846153846156,16797518.440280274
117,2,79,120.50006103515624,3.605551275463989,-2,-3,0.0456398895628353,8793859.983112901
117,1,71,106.25,5.0,3,4,0.07042253521126761,8145499.795580954
117,0,57,93.0999755859375,3.0,-3,0,0.05263157894736842,47036637.049072966
118,7,59,89.75000762939453,2.0,0,2,0.03389830508474576,8811535.608444594
118,6,43,65.25,2.0,-2,0,0.046511627906976744,1752339.381485813
118,5,73,112.85000610351562,2.0,0,-2,0.0273972602739726,4914942.455986547
118,4,42,63.35000610351562,2.0,0,2,0.047619047619047616,20161758.295278285
118,3,64,101.85000610351562,1.4142135623730951,-1,-1,0.02209708691207961,5373063.285567615
118,2,55,86.300048828125,0.0,0,0,0.0,2228475.752887768
118,1,54,85.25006103515625,1.4142135623730951,1,-1,0.026189140043946207,2067593.243623473
118,0,62,102.79998779296876,4.47213595499958,-2,4,0.07213122508063838,55988101.315352164
119,5,56,85.69999694824219,4.47213595499958,4,-2,0.07985957062499249,7691008.201468426
119,4,63,101.14997863769531,4.0,0,4,0.06349206349206349,3259131.6528654625
119,3,72,115.30001831054688,1.4142135623730951,-1,-1,0.019641855032959656,50468563.75388728
119,2,55,87.45001220703125,1.4142135623730951,-1,-1,0.025712973861329,17077939.831874467
119,1,43,67.550048828125,0.0,0,0,0.0,4685995.004669771
119,0,57,92.2000732421875,2.23606797749979,-2,-1,0.03922926276315421,6842614.124589466
120,7,70,112.14999389648438,0.0,0,0,0.0,4640742.556438638
120,6,75,121.10002136230469,2.0,0,-2,0.02666666666666667,24024108.70492966
120,5,62,97.85000610351562,2.0,0,2,0.03225806451612903,22859590.687082946
120,4,49,79.64999389648438,2.8284271247461903,-2,-2,0.05772300254584062,3081323.364638806
120,3,74,113.95001220703124,2.8284271247461903,2,2,0.03822198817224581,4932578.621797084
120,1,54,84.29998779296875,2.0,0,2,0.037037037037037035,9042091.99165663
120,0,41,61.90008544921875,0.0,0,0,0.0,7192896.9670911785
121,8,42,68.34999084472656,4.47213595499958,2,4,0.10647942749999,6796240.885705459
121,7,44,70.0999755859375,3.1622776601683795,-3,-1,0.07186994682200863,6519763.704752837
121,6,60,94.89996337890624,4.242640687119285,3,-3,0.07071067811865475,43167784.20455194
121,5,54,88.0,5.0,-3,4,0.09259259259259259,44640509.6238587
121,4,60,97.64999389648438,3.0,3,0,0.05,37783994.05005137
121,3,60,97.70001220703124,2.23606797749979,-1,-2,0.037267799624996496,48332607.44526956
121,2,40,65.300048828125,2.23606797749979,-1,-2,0.05590169943749475,28442938.818430044
121,1,67,108.25006103515624,4.47213595499958,2,4,0.06674829783581462,5208708.177136232
121,0,55,83.9000244140625,1.0,-1,0,0.01818181818181818,8478236.635047363
122,7,59,89.10000610351562,3.605551275463989,-2,3,0.061111038567186256,7966621.355570433
122,6,55,91.69998168945312,4.123105625617661,4,-1,0.07496555682941201,37798154.13904067
122,5,73,118.50003051757812,2.8284271247461903,-2,-2,0.038745577051317676,27130754.172068674
122,4,41,67.94998168945311,4.47213595499958,-2,4,0.10907648670730682,19141843.98025914
122,3,65,108.95001220703124,3.0,3,0,0.046153846153846156,70738894.8193677
122,2,69,114.300048828125,1.0,-1,0,0.014492753623188406,22251185.232945975
122,1,52,84.4500732421875,0.0,0,0,0.0,2968597.8563768836
122,0,76,126.550048828125,2.0,0,-2,0.02631578947368421,32041125.459691472
