path_num,point_num,point_coords,teo_point_time,sim_drone_time,teo_point_dist,teo_point_vel,Energy
346,4,"[2, -5, 1]",55,78.0,10.295630140987,0.18719327529067273,487550299.44163305
347,1,"[5, 1, 1]",74,61.0,5.0990195135927845,0.06890566910260519,71615521.42599012
347,2,"[5, -3, 1]",68,80.19998168945312,4.0,0.058823529411764705,234333426.5309816
347,3,"[5, -2, 1]",66,113.14999389648438,1.0,0.015151515151515152,1625362907.349535
347,4,"[-5, -1, 1]",115,59.05000305175781,10.04987562112089,0.08739022279235556,41621867.71068896
347,5,"[-2, 0, 1]",83,66.05000305175781,3.1622776601683795,0.03809973084540216,381686793.5218682
348,0,"[0, 0, 1]",68,105.05001831054688,0.0,0.0,1622231256.9987833
348,1,"[0, 0, 1]",58,51.1500244140625,0.0,0.0,13068376.61081673
348,2,"[0, 0, 1]",98,97.90000915527344,0.0,0.0,63565084.90705838
348,3,"[1, -1, 1]",99,50.89999389648438,1.4142135623730951,0.014284985478516112,45151609.92935531
348,4,"[3, 0, 1]",59,56.90000915527344,2.23606797749979,0.03789945724575915,99913270.13488632
349,0,"[-5, -2, 1]",53,110.04995727539062,5.385164807134504,0.10160688315348121,41043164.89228216
349,1,"[-2, 0, 1]",106,91.64999389648438,3.605551275463989,0.034014634674188575,33378670.94707159
349,2,"[0, -1, 1]",74,78.75,2.23606797749979,0.03021713483107824,53718794.979287
349,3,"[1, 0, 1]",107,99.89999389648438,1.4142135623730951,0.013216949181056963,37117792.95578827
350,0,"[0, 1, 1]",107,87.0999755859375,1.0,0.009345794392523364,124073426.56402907
350,1,"[1, 3, 1]",54,85.60000610351562,2.23606797749979,0.04140866624999611,160746865.87819174
350,2,"[2, -3, 1]",104,66.95001220703125,6.082762530298219,0.05848810125286749,158266120.3107341
350,3,"[3, -1, 1]",91,67.99998474121094,2.23606797749979,0.024572175576920766,819992470.1789906
350,4,"[-5, 0, 1]",68,86.25,8.06225774829855,0.1185626139455669,30365652.358652096
350,5,"[-3, -1, 1]",70,102.5500030517578,2.23606797749979,0.031943828249996996,43848290.419974715
351,0,"[-1, 1, 1]",57,67.04998779296875,1.4142135623730951,0.024810764252159563,449522143.0865288
351,1,"[0, -2, 1]",57,53.050048828125,3.1622776601683795,0.05547855544155052,102015900.25594302
351,2,"[-2, 0, 1]",103,106.6500244140625,2.8284271247461903,0.027460457521807674,51425570.00954357
351,3,"[0, 1, 1]",61,92.5999755859375,2.23606797749979,0.03665685209016049,36182238.176527336
351,4,"[0, -1, 1]",79,74.35000610351562,2.0,0.02531645569620253,44256005.353273205
351,5,"[-1, 0, 1]",100,58.84999084472656,1.4142135623730951,0.01414213562373095,123459115.64702018
351,6,"[0, -1, 1]",115,99.14999389648438,1.4142135623730951,0.012297509238026914,46373516.96776706
352,0,"[-3, 0, 1]",79,68.04998779296875,3.0,0.0379746835443038,52916141.70032355
