path_num,points,times,Energy
42,"-1,3,1;-1,-3,1;0,2,1;1,2,1;3,-3,1;3,-1,1;5,0,1;5,0,1;-5,0,1;-4,-2,1;3,0,1;3,-1,1","64,42,43,59,74,50,73,42,58,49,66,48",52458863
43,"3,-1,1;4,0,1;-5,-1,1;-2,1,1;0,3,1;-1,-5,1;1,-2,1;1,0,1;2,1,1;-3,-2,1;0,0,1","73,58,68,54,77,65,65,58,53,68,53",0
44,"0,0,1;-1,0,1;-1,0,1;0,2,1;1,-2,1;1,-1,1;1,1,1;-1,1,1;-1,-2,1;0,1,1;1,2,1;2,-2,1","59,48,62,52,41,64,44,56,41,69,72,64",1463539
45,"2,-2,1;4,0,1;5,0,1;5,1,1;-5,-3,1;-3,1,1;0,-2,1;-1,0,1;0,0,1;-2,1,1;0,3,1;0,-3,1;-1,0,1","44,41,78,41,51,58,48,43,42,58,75,41,77",47327079
46,"-1,0,1;0,2,1;1,-3,1;-3,-2,1;1,-1,1;3,-1,1;-5,1,1;-3,-2,1;0,0,1;0,2,1;0,2,1;1,2,1","42,75,47,47,59,66,60,76,48,49,55,50",9596712
47,"1,2,1;1,-3,1;-2,0,1;0,-1,1;0,1,1;0,-1,1;1,0,1;-1,1,1;0,-1,1;2,0,1;2,2,1","41,60,51,53,78,75,73,78,58,67,48",109004150
48,"2,2,1;2,-4,1;-4,1,1;-1,1,1;1,-1,1;-3,0,1;0,-1,1;2,0,1;-2,2,1;-1,-3,1","67,67,60,53,77,61,50,74,60,63",0
49,"-1,-3,1;1,0,1;1,-1,1;-3,0,1;-1,2,1;0,3,1;2,3,1;2,-5,1;-3,4,1;0,-4,1;-1,2,1;0,-3,1","45,63,76,66,41,51,43,58,55,75,55,51",19173010
50,"0,-3,1;-1,1,1;0,-2,1;-1,0,1;0,1,1;-2,-3,1;-1,-2,1;1,0,1;-2,2,1;0,-2,1;0,-1,1","58,74,50,72,70,53,72,59,52,50,45",131851485
51,"0,-1,1;1,-1,1;3,0,1;4,-2,1;4,1,1;-4,-2,1;-1,1,1;0,-2,1;0,1,1;-2,1,1;1,-2,1;-2,-1,1","69,40,51,73,55,79,59,41,49,57,76,46",134042074
52,"-2,-1,1;0,1,1;-2,-1,1;0,0,1;0,2,1;0,-2,1;-2,0,1;0,0,1;0,1,1;1,2,1;-1,3,1","63,48,58,65,72,75,46,74,44,55,63",10896356
53,"-1,3,1;1,-4,1;1,3,1;-3,5,1;2,-5,1;-4,3,1;1,4,1;-3,-4,1;-1,3,1;0,-3,1;2,-2,1;2,0,1","47,61,44,52,63,65,57,65,67,44,47,78",304117676
54,"2,0,1;-4,-2,1;3,1,1;-4,-3,1;-1,-1,1;0,0,1;2,-2,1;4,-1,1;5,0,1;-5,2,1;3,3,1","61,62,71,42,45,56,48,58,49,62,76",137928976447
