In Route: 490.0 In point: 7.0 SimTime: -384.8 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TargetRHO: 5.1172 |DRONE out of control and lost the target 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TargetRHO: 5.1172 |DRONE out of control and lost the target 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TargetRHO: 5.1172 |DRONE out of control and lost the target 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TargetRHO: 5.1172 |DRONE out of control and lost the target 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TargetRHO: 5.1172 |DRONE out of control and lost the target 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TargetRHO: 5.1172 |DRONE out of control and lost the target 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 5.0 SimTime: -556.55 TargetRHO: 5.1172 |DRONE out of control and lost the target 
In Route: 491.0 In point: 4.0 SimTime: -6.95 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 4.0 SimTime: -5.8 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 4.0 SimTime: -4.55 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 4.0 SimTime: -3.5 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 4.0 SimTime: -2.15 TankMass: 10.001 |Negative Simtime 
In Route: 491.0 In point: 4.0 SimTime: -1.0 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TargetRHO: 4.4962 |DRONE out of control and lost the target 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TargetRHO: 4.4962 |DRONE out of control and lost the target 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TargetRHO: 4.4962 |DRONE out of control and lost the target 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TargetRHO: 4.4962 |DRONE out of control and lost the target 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TargetRHO: 4.4962 |DRONE out of control and lost the target 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 7.0 SimTime: -403.1 TargetRHO: 4.4962 |DRONE out of control and lost the target 
In Route: 492.0 In point: 6.0 SimTime: -6.55 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 6.0 SimTime: -5.3 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 6.0 SimTime: -4.25 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 6.0 SimTime: -2.9 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 6.0 SimTime: -1.7 TankMass: 10.001 |Negative Simtime 
In Route: 492.0 In point: 6.0 SimTime: -0.45 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TargetRHO: 2.0853 |DRONE out of control and lost the target 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TargetRHO: 2.0853 |DRONE out of control and lost the target 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TargetRHO: 2.0853 |DRONE out of control and lost the target 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TargetRHO: 2.0853 |DRONE out of control and lost the target 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TargetRHO: 2.0853 |DRONE out of control and lost the target 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 5.0 SimTime: -498.0 TargetRHO: 2.0853 |DRONE out of control and lost the target 
In Route: 493.0 In point: 4.0 SimTime: -6.8 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 4.0 SimTime: -5.5 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 4.0 SimTime: -4.4 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 4.0 SimTime: -3.0 TankMass: 10.001 |Negative Simtime 
In Route: 493.0 In point: 4.0 SimTime: -1.7 TankMass: 10.001 |Negative Simtime 
