route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
79.0|11.0|18.700000762939453|9.4908642578125|[234.8406524658203, 19.878814697265625, -38.81325912475586, 176.35008239746094]|[-0.4696813225746155, 0.039757631719112396, 0.07762651890516281, 0.3527001738548279]|[8326.35729606774, 2422.4992245155304, 3384.9983384689035, 7215.330642967449]|0.018323391675949097|0.07273052632808685|0.13063308596611023
79.0|11.0|21.400001525878906|9.4071416015625|[44.756561279296875, 167.09210205078125, 151.7683868408203, 29.231626510620117]|[-0.08951312303543091, 0.3341841995716095, -0.3035367727279663, 0.05846325308084488]|[3634.9359255513173, 7023.383213698569, 6693.589319358879, 2937.6151179409835]|0.018487006425857544|0.0725669115781784|0.16078004240989685
79.0|11.0|24.0|9.3237890625|[330.3612365722656, -79.12794494628906, -137.71743774414062, 272.09466552734375]|[-0.6607224941253662, -0.15825589001178741, 0.2754348814487457, 0.5441893339157104]|[9875.587595880494, 4833.184202938309, 6376.213801240599, 8962.484502394655]|0.01852896809577942|0.07252494990825653|0.10454101115465164
79.0|11.0|26.650001525878906|9.268427734375|[188.1642608642578, 62.882266998291016, 7.072139739990234, 132.541259765625]|[-0.3763285279273987, 0.12576453387737274, -0.014144279062747955, 0.2650825083255768]|[7453.10043099847, 4308.563511207399, 1444.9200607500763, 6255.239622150973]|0.01785007119178772|0.07320384681224823|0.135543555021286
79.0|11.0|29.349998474121094|9.1856943359375|[12.114751815795898, 181.00189208984375, 182.9132080078125, 13.725223541259766]|[-0.0242295041680336, 0.36200377345085144, -0.36582639813423157, 0.027450446039438248]|[1891.1486401093266, 7309.875182729814, 7348.368677531373, 2012.9274264788412]|0.017879784107208252|0.0731741338968277|0.16586944460868835
79.0|11.0|31.950000762939453|9.130744140625|[316.9198913574219, -65.822509765625, -125.01570892333984, 258.06591796875]|[-0.6338397860527039, -0.13164502382278442, 0.25003141164779663, 0.5161318182945251]|[9672.59832561176, 4408.142474560915, 6075.06176816042, 8728.381701168455]|0.01782175898551941|0.07323215901851654|0.10848136246204376
79.0|11.0|34.599998474121094|9.04862890625|[161.16969299316406, 84.8663558959961, 33.236820220947266, 109.70482635498047]|[-0.32233938574790955, 0.1697327196598053, -0.06647364050149918, 0.21940965950489044]|[6897.791984957582, 5005.36994022357, 3132.4066550301563, 5690.904152326068]|0.01781386137008667|0.07324005663394928|0.1403869241476059
79.0|11.0|37.25|8.966884765625|[-61.948646545410156, 203.36788940429688, 254.5355987548828, -11.382816314697266]|[0.12389729171991348, 0.40673577785491943, -0.5090711712837219, -0.0227656327188015]|[4276.459024870998, 7748.356507681909, 8668.47436426729, 1833.1300123735766]|0.017847299575805664|0.07320661842823029|0.1756044328212738
79.0|11.0|39.849998474121094|8.9125947265625|[276.4389343261719, -24.845088958740234, -84.76734161376953, 216.8548126220703]|[-0.5528778433799744, -0.04969017580151558, 0.16953468322753906, 0.43370962142944336]|[9033.748779305102, 2708.2495648702006, 5002.449184718451, 8001.1596550498325]|0.01873070001602173|0.07232321798801422|0.11686984449625015
79.0|11.0|42.45000076293945|8.8314677734375|[75.75839233398438, 146.3256378173828, 117.9066162109375, 47.31505584716797]|[-0.15151678025722504, 0.2926512658596039, -0.2358132302761078, 0.09463010728359222]|[4729.157510410505, 6572.470067545296, 5899.802748716087, 3737.3871023072475]|0.017841696739196777|0.07321222126483917|0.15554507076740265
