route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
79.0|11.0|40.55000305175781|8.8855107421875|[106.58209228515625, 125.83123779296875, 87.35710144042969, 68.16375732421875]|[-0.21316418051719666, 0.2516624927520752, -0.17471419274806976, 0.13632750511169434]|[5609.323983796613, 6094.844620526072, 5078.290160519044, 4485.85431193721]|0.017825067043304443|0.0732288509607315|0.15041370689868927
79.0|11.0|43.05000305175781|8.8045087890625|[329.03717041015625, -81.48138427734375, -139.08863830566406, 271.8119201660156]|[-0.6580743193626404, -0.16296276450157166, 0.27817726135253906, 0.5436238646507263]|[9855.777372845716, 4904.532347958811, 6407.877956859334, 8957.826638963355]|0.018689095973968506|0.07236482203006744|0.10434477776288986
79.0|11.0|45.5|8.750712890625|[105.2325439453125, 126.35587310791016, 87.99828338623047, 66.94758605957031]|[-0.21046508848667145, 0.2527117431163788, -0.1759965568780899, 0.1338951587677002]|[5573.698065128268, 6107.5371949610035, 5096.892855435541, 4445.656109171162]|0.018726706504821777|0.07232721149921417|0.1555071771144867
79.0|11.0|48.0|8.69708203125|[311.60211181640625, -63.55710220336914, -121.92987823486328, 253.61793518066406]|[-0.623204231262207, -0.1271142065525055, 0.24385975301265717, 0.5072358846664429]|[9591.103998495273, 4331.620974361126, 5999.616267935394, 8652.83426154094]|0.018741369247436523|0.07231254875659943|0.1083013191819191
79.0|11.0|50.55000305175781|8.6169453125|[105.5839614868164, 125.16390228271484, 86.93879699707031, 67.4476089477539]|[-0.21116793155670166, 0.25032779574394226, -0.17387759685516357, 0.1348952203989029]|[5582.996817620466, 6078.661384476497, 5066.117020624245, 4462.227240952484]|0.01784682273864746|0.07320709526538849|0.15030618011951447
79.0|11.0|53.0|8.5637265625|[309.316162109375, -62.22153854370117, -120.3363037109375, 251.60398864746094]|[-0.6186323165893555, -0.12444307655096054, 0.24067260324954987, 0.5032079815864563]|[9555.858505267566, 4285.867858855915, 5960.281034147938, 8618.410279121848]|0.01784038543701172|0.07321353256702423|0.1082497164607048
79.0|10.0|0.25|8.48420703125|[-23.07672691345215, 190.6741180419922, 213.8683319091797, -0.24130503833293915]|[0.04615345224738121, 0.38134825229644775, -0.42773666977882385, -0.00048261007759720087]|[2610.0901598650266, 7502.642919022475, 7945.873469622979, 266.9018591360583]|0.017846763134002686|0.01697792485356331|0.17059564590454102
79.0|10.0|2.799999237060547|8.431400390625|[-145.10435485839844, 344.64935302734375, 327.7482604980469, -161.3678436279297]|[0.29020869731903076, 0.6892987489700317, -0.6554964780807495, -0.3227356970310211]|[6544.984574360992, 10086.886586195778, 9836.454823568167, 6902.030939528263]|0.019938349723815918|0.014886338263750076|0.05711287632584572
79.0|10.0|5.299999237060547|8.3525|[-239.3929901123047, 424.4154968261719, 421.998291015625, -241.12461853027344]|[0.47878599166870117, 0.8488309383392334, -0.8439965844154358, -0.4822492301464081]|[8406.672301839804, 11193.451465793132, 11161.530493309245, 8437.021985036461]|0.03610718250274658|-0.0012824945151805878|0.07182592153549194
79.0|10.0|7.799999237060547|8.30010546875|[433.2106628417969, -248.97799682617188, -250.96127319335938, 431.9593811035156]|[-0.8664213418960571, -0.4979560077190399, 0.5019225478172302, 0.8639187812805176]|[11308.837739240565, 8573.317120109137, 8607.395494627604, 11292.493756720258]|0.03950822353363037|-0.004683535546064377|0.043161168694496155
79.0|10.0|10.35000228881836|8.2218232421875|[-39.29825210571289, 220.70919799804688, 220.8284454345703, -38.4857292175293]|[0.07859650254249573, 0.4414183795452118, -0.4416568875312805, -0.07697146385908127]|[3406.081388155067, 8071.952922297452, 8074.1332340418485, 3370.6857416352027]|0.0322566032409668|0.0025680847465991974|0.05880989879369736
79.0|10.0|12.85000228881836|8.16984033203125|[302.2140808105469, -119.12272644042969, -120.91471099853516, 301.150634765625]|[-0.6044281721115112, -0.23824545741081238, 0.24182942509651184, 0.6023012399673462]|[9445.51738266684, 5930.150514299441, 5974.5881765583945, 9428.884057389534]|0.03414416313171387|0.0006805248558521271|0.04479486122727394
79.0|10.0|15.39999771118164|8.09217626953125|[-75.22029876708984, 256.7272644042969, 256.2512512207031, -74.99716186523438]|[0.15044060349464417, 0.5134544968605042, -0.5125024914741516, -0.14999432861804962]|[4712.332549353459, 8705.714099169973, 8697.639465178127, 4705.337919829232]|0.034500718116760254|0.00032396987080574036|0.0639442726969719
79.0|10.0|17.85000228881836|8.04060595703125|[332.1336669921875, -149.57081604003906, -151.33010864257812, 331.1025085449219]|[-0.6642673015594482, -0.29914161562919617, 0.302660197019577, 0.6622049808502197]|[9902.044055025328, 6644.95180726836, 6683.91742605441, 9886.660920495298]|0.03706228733062744|-0.002237599343061447|0.04693044722080231
79.0|10.0|20.249996185302734|7.9635595703125|[-169.2935028076172, 348.0604553222656, 349.64385986328125, -167.0403289794922]|[0.3385869860649109, 0.6961209177970886, -0.6992877125740051, -0.33408066630363464]|[7069.497568997243, 10136.680217312281, 10159.711062040275, 7022.295040509752]|0.03310501575469971|0.0017196722328662872|0.06758791953325272
